Image,Detected Object(s),Generated_Image_Path
10687.jpeg,"['spider monkey, Ateles geoffroyi', 'gibbon, Hylobates lar', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'chimpanzee, chimp, Pan troglodytes', 'gorilla, Gorilla gorilla']",images\10687.jpeg
1069.jpeg,"['nematode, nematode worm, roundworm']",images\1069.jpeg
10718.jpeg,['mountain tent'],images\10718.jpeg
10729.jpeg,"['chimpanzee, chimp, Pan troglodytes', 'gibbon, Hylobates lar', 'gorilla, Gorilla gorilla', 'spider monkey, Ateles geoffroyi', 'street sign']",images\10729.jpeg
10733.jpeg,"['gorilla, Gorilla gorilla', 'chimpanzee, chimp, Pan troglodytes', 'siamang, Hylobates syndactylus, Symphalangus syndactylus']",images\10733.jpeg
10740.jpeg,"['boathouse', 'lakeside, lakeshore', 'church, church building']",images\10740.jpeg
1075.jpeg,"['gibbon, Hylobates lar', 'book jacket, dust cover, dust jacket, dust wrapper', 'Madagascar cat, ring-tailed lemur, Lemur catta', 'spider monkey, Ateles geoffroyi', 'comic book']",images\1075.jpeg
10765.jpeg,"['shower curtain', 'lampshade, lamp shade', 'fire screen, fireguard', 'comic book', 'binder, ring-binder']",images\10765.jpeg
10766.jpeg,"['spotlight, spot', 'alp', 'lakeside, lakeshore', 'fountain', 'valley, vale']",images\10766.jpeg
1077.jpeg,"['siamang, Hylobates syndactylus, Symphalangus syndactylus', 'gibbon, Hylobates lar', 'chimpanzee, chimp, Pan troglodytes', 'gorilla, Gorilla gorilla']",images\1077.jpeg
10771.jpeg,"['American black bear, black bear, Ursus americanus, Euarctos americanus', 'brown bear, bruin, Ursus arctos', 'valley, vale', 'schipperke', 'kelpie']",images\10771.jpeg
10776.jpeg,"['geyser', 'fountain', 'ski', 'ski mask', 'spotlight, spot']",images\10776.jpeg
10778.jpeg,"['web site, website, internet site, site', 'jigsaw puzzle', 'comic book', 'book jacket, dust cover, dust jacket, dust wrapper']",images\10778.jpeg
10783.jpeg,"['suspension bridge', 'streetcar, tram, tramcar, trolley, trolley car', 'traffic light, traffic signal, stoplight', 'passenger car, coach, carriage', 'alp']",images\10783.jpeg
1079.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'Chesapeake Bay retriever', 'web site, website, internet site, site', 'Weimaraner']",images\1079.jpeg
10797.jpeg,"['valley, vale', 'lakeside, lakeshore', 'binoculars, field glasses, opera glasses', 'wallaby, brush kangaroo', 'maze, labyrinth']",images\10797.jpeg
10800.jpeg,"['mountain tent', 'theater curtain, theatre curtain', 'stage']",images\10800.jpeg
10805.jpeg,"['web site, website, internet site, site', 'jeep, landrover', 'book jacket, dust cover, dust jacket, dust wrapper']",images\10805.jpeg
1081.jpeg,"['chimpanzee, chimp, Pan troglodytes', 'gorilla, Gorilla gorilla']",images\1081.jpeg
10814.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'triceratops', 'jigsaw puzzle']",images\10814.jpeg
1082.jpeg,"['scuba diver', 'cloak', 'gorilla, Gorilla gorilla', 'abaya', 'hammerhead, hammerhead shark']",images\1082.jpeg
10855.jpeg,"['siamang, Hylobates syndactylus, Symphalangus syndactylus', 'chimpanzee, chimp, Pan troglodytes', 'comic book', 'gibbon, Hylobates lar', 'gorilla, Gorilla gorilla']",images\10855.jpeg
10861.jpeg,"['gibbon, Hylobates lar', 'standard poodle', 'orangutan, orang, orangutang, Pongo pygmaeus', 'baboon', 'Irish terrier']",images\10861.jpeg
10863.jpeg,"['fountain', 'comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'church, church building', 'patio, terrace']",images\10863.jpeg
10867.jpeg,"['lumbermill, sawmill', 'oxcart', 'thatch, thatched roof', 'horse cart, horse-cart', 'ox']",images\10867.jpeg
10874.jpeg,"['comic book', 'pomegranate', 'book jacket, dust cover, dust jacket, dust wrapper', 'banana', 'web site, website, internet site, site']",images\10874.jpeg
10877.jpeg,"['web site, website, internet site, site', 'comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'brass, memorial tablet, plaque']",images\10877.jpeg
10879.jpeg,"['web site, website, internet site, site', 'brass, memorial tablet, plaque']",images\10879.jpeg
10889.jpeg,"['lakeside, lakeshore', 'valley, vale', 'alp', 'mobile home, manufactured home', 'boathouse']",images\10889.jpeg
1089.jpeg,"['sorrel', 'horse cart, horse-cart', 'Mexican hairless']",images\1089.jpeg
10892.jpeg,"['mountain bike, all-terrain bike, off-roader', 'unicycle, monocycle', 'bicycle-built-for-two, tandem bicycle, tandem']",images\10892.jpeg
109.jpeg,"['web site, website, internet site, site', 'passenger car, coach, carriage', 'streetcar, tram, tramcar, trolley, trolley car', 'mobile home, manufactured home', 'school bus']",images\109.jpeg
1090.jpeg,"['green mamba', 'spider monkey, Ateles geoffroyi', 'gibbon, Hylobates lar', 'howler monkey, howler', 'orangutan, orang, orangutang, Pongo pygmaeus']",images\1090.jpeg
10904.jpeg,"['rifle', 'assault rifle, assault gun', 'gazelle', 'hartebeest', 'impala, Aepyceros melampus']",images\10904.jpeg
10910.jpeg,"['web site, website, internet site, site', 'alp', 'valley, vale']",images\10910.jpeg
10913.jpeg,"['jeep, landrover', 'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon', 'pole', 'worm fence, snake fence, snake-rail fence, Virginia fence']",images\10913.jpeg
10918.jpeg,"['street sign', 'park bench']",images\10918.jpeg
10919.jpeg,"['chimpanzee, chimp, Pan troglodytes', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'gorilla, Gorilla gorilla', 'gibbon, Hylobates lar']",images\10919.jpeg
10925.jpeg,"['comic book', 'web site, website, internet site, site', 'book jacket, dust cover, dust jacket, dust wrapper']",images\10925.jpeg
10927.jpeg,"['bow', 'comic book', 'book jacket, dust cover, dust jacket, dust wrapper']",images\10927.jpeg
10928.jpeg,"['comic book', 'web site, website, internet site, site', 'book jacket, dust cover, dust jacket, dust wrapper']",images\10928.jpeg
10934.jpeg,"['comic book', 'minibus', 'minivan', 'moving van', 'pickup, pickup truck']",images\10934.jpeg
10945.jpeg,"['beacon, lighthouse, beacon light, pharos', 'sandbar, sand bar', 'barn', 'park bench', 'worm fence, snake fence, snake-rail fence, Virginia fence']",images\10945.jpeg
10948.jpeg,"['cliff, drop, drop-off', 'wild boar, boar, Sus scrofa', 'megalith, megalithic structure', 'bison', 'hog, pig, grunter, squealer, Sus scrofa']",images\10948.jpeg
10960.jpeg,['mountain tent'],images\10960.jpeg
10977.jpeg,"['alp', 'valley, vale', 'ski', 'mountain bike, all-terrain bike, off-roader']",images\10977.jpeg
1098.jpeg,"['comic book', 'jigsaw puzzle', 'lakeside, lakeshore', 'book jacket, dust cover, dust jacket, dust wrapper', 'seashore, coast, seacoast, sea-coast']",images\1098.jpeg
10980.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'seashore, coast, seacoast, sea-coast', 'bikini, two-piece', 'lakeside, lakeshore']",images\10980.jpeg
1099.jpeg,"['mountain tent', 'web site, website, internet site, site', 'lakeside, lakeshore', 'comic book', 'seashore, coast, seacoast, sea-coast']",images\1099.jpeg
1100.jpeg,"['hatchet', 'baboon', 'gorilla, Gorilla gorilla', 'macaque', 'orangutan, orang, orangutang, Pongo pygmaeus']",images\1100.jpeg
11016.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'fountain', 'lakeside, lakeshore', 'web site, website, internet site, site']",images\11016.jpeg
1102.jpeg,"['alp', 'cliff, drop, drop-off', 'valley, vale', 'ibex, Capra ibex', 'bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis']",images\1102.jpeg
11026.jpeg,"['shower curtain', 'bolo tie, bolo, bola tie, bola', 'knot', 'chain', 'drum, membranophone, tympan']",images\11026.jpeg
11030.jpeg,"['gorilla, Gorilla gorilla', 'macaque', 'comic book', 'chimpanzee, chimp, Pan troglodytes', 'baboon']",images\11030.jpeg
11040.jpeg,"['spider monkey, Ateles geoffroyi', 'gibbon, Hylobates lar', 'langur', 'shower curtain', 'siamang, Hylobates syndactylus, Symphalangus syndactylus']",images\11040.jpeg
1105.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper']",images\1105.jpeg
1106.jpeg,"['siamang, Hylobates syndactylus, Symphalangus syndactylus', 'gibbon, Hylobates lar', 'chimpanzee, chimp, Pan troglodytes', 'gorilla, Gorilla gorilla', 'alp']",images\1106.jpeg
11070.jpeg,"['bison', 'web site, website, internet site, site', 'valley, vale', 'water buffalo, water ox, Asiatic buffalo, Bubalus bubalis', 'ox']",images\11070.jpeg
1108.jpeg,"['web site, website, internet site, site', 'comic book', 'seashore, coast, seacoast, sea-coast', 'book jacket, dust cover, dust jacket, dust wrapper']",images\1108.jpeg
11089.jpeg,"['wreck', 'spatula', 'coral reef', 'shower curtain', 'fountain']",images\11089.jpeg
1109.jpeg,"['gorilla, Gorilla gorilla', 'chimpanzee, chimp, Pan troglodytes']",images\1109.jpeg
11109.jpeg,"['ski mask', 'fire engine, fire truck', 'snowplow, snowplough', 'gasmask, respirator, gas helmet', 'garbage truck, dustcart']",images\11109.jpeg
11121.jpeg,"['valley, vale']",images\11121.jpeg
1113.jpeg,"['shopping basket', 'apron', 'maze, labyrinth', 'stretcher', 'envelope']",images\1113.jpeg
11137.jpeg,"['assault rifle, assault gun', 'revolver, six-gun, six-shooter', 'rifle', 'tripod', 'web site, website, internet site, site']",images\11137.jpeg
1114.jpeg,"['chimpanzee, chimp, Pan troglodytes', 'gorilla, Gorilla gorilla']",images\1114.jpeg
11147.jpeg,"['gorilla, Gorilla gorilla', 'orangutan, orang, orangutang, Pongo pygmaeus', 'chimpanzee, chimp, Pan troglodytes', 'binoculars, field glasses, opera glasses']",images\11147.jpeg
1115.jpeg,"['web site, website, internet site, site', 'book jacket, dust cover, dust jacket, dust wrapper', 'comic book']",images\1115.jpeg
1116.jpeg,"['prison, prison house', 'stretcher', 'worm fence, snake fence, snake-rail fence, Virginia fence', 'cloak', 'chimpanzee, chimp, Pan troglodytes']",images\1116.jpeg
11162.jpeg,"['web site, website, internet site, site']",images\11162.jpeg
11168.jpeg,"['cab, hack, taxi, taxicab']",images\11168.jpeg
1117.jpeg,"['puck, hockey puck', 'comic book', 'ski', 'book jacket, dust cover, dust jacket, dust wrapper']",images\1117.jpeg
1118.jpeg,"['lawn mower, mower', 'tractor', 'harvester, reaper', 'go-kart', 'plow, plough']",images\1118.jpeg
11186.jpeg,"['menu', 'envelope', 'book jacket, dust cover, dust jacket, dust wrapper', 'web site, website, internet site, site', 'jersey, T-shirt, tee shirt']",images\11186.jpeg
1120.jpeg,"['stopwatch, stop watch', 'analog clock', 'wall clock', 'barometer', 'wardrobe, closet, press']",images\1120.jpeg
11228.jpeg,"['gibbon, Hylobates lar', 'baboon', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'spider monkey, Ateles geoffroyi', 'brown bear, bruin, Ursus arctos']",images\11228.jpeg
1123.jpeg,"['cliff, drop, drop-off', 'valley, vale', 'seashore, coast, seacoast, sea-coast', 'cliff dwelling', 'alp']",images\1123.jpeg
11248.jpeg,"['macaque', 'baboon', 'orangutan, orang, orangutang, Pongo pygmaeus', 'chimpanzee, chimp, Pan troglodytes', 'gibbon, Hylobates lar']",images\11248.jpeg
11252.jpeg,"['convertible', 'pickup, pickup truck', 'racer, race car, racing car']",images\11252.jpeg
11260.jpeg,"['sunglasses, dark glasses, shades', 'wig', 'sunglass', 'fountain', 'Yorkshire terrier']",images\11260.jpeg
11273.jpeg,"['comic book', 'gorilla, Gorilla gorilla', 'jigsaw puzzle', 'book jacket, dust cover, dust jacket, dust wrapper', 'chimpanzee, chimp, Pan troglodytes']",images\11273.jpeg
1129.jpeg,"['mountain bike, all-terrain bike, off-roader', 'bicycle-built-for-two, tandem bicycle, tandem', 'tricycle, trike, velocipede', 'moped']",images\1129.jpeg
11295.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'fur coat']",images\11295.jpeg
113.jpeg,"['killer whale, killer, orca, grampus, sea wolf, Orcinus orca', 'comic book', 'solar dish, solar collector, solar furnace', 'shoe shop, shoe-shop, shoe store', 'vault']",images\113.jpeg
11304.jpeg,"['fire screen, fireguard', 'stove', 'mountain tent']",images\11304.jpeg
1131.jpeg,"['shovel', 'caldron, cauldron', 'mortar', 'swab, swob, mop', 'broom']",images\1131.jpeg
11313.jpeg,"['jeep, landrover', 'ibex, Capra ibex', 'web site, website, internet site, site', 'hartebeest']",images\11313.jpeg
1132.jpeg,"['web site, website, internet site, site']",images\1132.jpeg
11324.jpeg,"['valley, vale', 'cliff, drop, drop-off', 'alp', 'lakeside, lakeshore']",images\11324.jpeg
11325.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'comic book']",images\11325.jpeg
11328.jpeg,"['lawn mower, mower', 'tractor', 'cannon', 'harvester, reaper', 'plow, plough']",images\11328.jpeg
1134.jpeg,"['scuba diver', 'wreck']",images\1134.jpeg
1135.jpeg,"['web site, website, internet site, site', 'comic book']",images\1135.jpeg
1136.jpeg,"['web site, website, internet site, site', 'radio telescope, radio reflector', 'solar dish, solar collector, solar furnace', 'worm fence, snake fence, snake-rail fence, Virginia fence', 'airship, dirigible']",images\1136.jpeg
1138.jpeg,"['chimpanzee, chimp, Pan troglodytes', 'bannister, banister, balustrade, balusters, handrail', 'orangutan, orang, orangutang, Pongo pygmaeus', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'cliff, drop, drop-off']",images\1138.jpeg
11387.jpeg,['mountain tent'],images\11387.jpeg
11389.jpeg,"['gorilla, Gorilla gorilla', 'orangutan, orang, orangutang, Pongo pygmaeus', 'chimpanzee, chimp, Pan troglodytes', 'baboon']",images\11389.jpeg
11407.jpeg,"['gibbon, Hylobates lar', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'baboon', 'jeep, landrover', 'macaque']",images\11407.jpeg
1141.jpeg,"['web site, website, internet site, site', 'maze, labyrinth', 'comic book', 'coil, spiral, volute, whorl, helix', 'book jacket, dust cover, dust jacket, dust wrapper']",images\1141.jpeg
11430.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'maze, labyrinth', 'valley, vale']",images\11430.jpeg
11432.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper']",images\11432.jpeg
11439.jpeg,"['ox', 'oxcart', 'water buffalo, water ox, Asiatic buffalo, Bubalus bubalis']",images\11439.jpeg
