Image,Image Caption(s),Generated_Image_Path
10505.jpeg,"['a group of horses standing next to each other .', 'a group of horses standing next to a river .', 'a group of horses standing next to each other in a river .']",images\10505.jpeg
10506.jpeg,"['a giraffe standing on a lush green field .', 'a giraffe standing in a field next to a fence .', 'a giraffe standing in a field next to a tree .']",images\10506.jpeg
10509.jpeg,"['a woman is holding a teddy bear in her arms .', 'a woman is holding a teddy bear in her hands .', 'a woman is holding a teddy bear in her hand .']",images\10509.jpeg
10510.jpeg,"['a man riding a skateboard up the side of a ramp .', 'a man riding a skateboard down a street .', 'a man riding a skateboard on top of a ramp .']",images\10510.jpeg
10533.jpeg,"['a group of people standing next to a train .', 'a group of people standing around a train .', 'a group of people standing next to each other .']",images\10533.jpeg
10535.jpeg,"['a group of people standing next to each other .', 'a group of people standing next to each other in a forest .', 'a group of people standing next to each other on a dirt field .']",images\10535.jpeg
10538.jpeg,"['a group of people riding bikes down a street .', 'a man riding a bike down a street next to a forest .', 'a man riding a bike with a dog on the back .']",images\10538.jpeg
1055.jpeg,"['a black bear sitting on top of a tree branch .', 'a black bear sitting on top of a tree .', 'a black bear sitting on a branch in a tree .']",images\1055.jpeg
10556.jpeg,"['a man standing next to a woman in front of a building .', 'a man standing next to a woman in a suit .', 'a man standing next to a woman in front of a truck .']",images\10556.jpeg
1058.jpeg,"['a group of people standing next to each other .', 'a group of people standing next to each other in front of a building .', 'a group of people standing next to each other with a bear .']",images\1058.jpeg
1059.jpeg,"['a group of people standing on top of a surfboard .', 'a group of people standing on top of a boat .', 'a group of people standing on top of a beach .']",images\1059.jpeg
10591.jpeg,"['a black and white photo of a man and a dog .', 'a black and white photo of a man and a dog', 'a black and white photo of a dog sitting on a bench .']",images\10591.jpeg
10595.jpeg,"['a truck is parked on the side of the road .', 'a truck is parked on the side of a road .', 'a truck is parked on the side of the road']",images\10595.jpeg
1060.jpeg,"['a dog that is standing in the snow .', 'a dog that is walking in the snow .', 'a dog that is walking in the snow']",images\1060.jpeg
10608.jpeg,"['a black and white photo of a man on a horse .', 'a black and white photo of a man on a skateboard .', 'a black and white photo of a man on a horse']",images\10608.jpeg
10609.jpeg,"['a black and white photo of a man holding a baseball bat .', 'a black and white photo of a person holding a baseball bat .', 'a black and white photo of a man holding a frisbee .']",images\10609.jpeg
1061.jpeg,"['a group of people standing on top of a sandy beach .', 'a group of people standing on top of a beach .', 'a group of people on a beach playing with a frisbee .']",images\1061.jpeg
1062.jpeg,"['a man standing next to a statue of a bear .', 'a man standing next to a statue of a dog .', 'a statue of a man holding a dog']",images\1062.jpeg
10620.jpeg,"['a group of people on a boat in the water .', 'a group of people riding on a boat in the water .', 'a group of people on a boat in a body of water .']",images\10620.jpeg
10623.jpeg,"['a couple of bears that are standing in the water .', 'a couple of bears that are on a rock', 'a couple of bears that are standing in the dirt .']",images\10623.jpeg
1063.jpeg,"['a group of people standing on top of a sandy beach .', 'a group of people standing on top of a beach .', 'a group of people on a beach with a dog .']",images\1063.jpeg
10632.jpeg,"['a group of people standing on top of a beach .', 'a black and white photo of a man and a dog .', 'a black and white photo of a man and a dog']",images\10632.jpeg
1064.jpeg,"['a man is riding a horse in the snow .', 'a man is riding a horse in the snow', 'a man riding a horse down a street next to a car .']",images\1064.jpeg
10646.jpeg,"['a train traveling over a bridge over a river .', 'a train traveling over a bridge over water .', 'a train traveling over a bridge over a body of water .']",images\10646.jpeg
1065.jpeg,"['a group of people riding on the back of a truck .', 'a man riding a motorcycle down a road next to a truck .', 'a man riding a motorcycle down a street next to a truck .']",images\1065.jpeg
10653.jpeg,"['a man standing on top of a snow covered slope .', 'a man standing on top of a snow covered field .', 'a man standing on top of a snow covered field holding a frisbee .']",images\10653.jpeg
10660.jpeg,"['a man walking a dog in the snow .', 'a man walking a dog on a leash .', 'a man walking a dog down a street .']",images\10660.jpeg
10678.jpeg,"['a man riding a skateboard down a street .', 'a black and white photo of a man skateboarding in a parking lot .', 'a black and white photo of a person skateboarding in a parking lot .']",images\10678.jpeg
1068.jpeg,"['a group of people sitting on a bench in the water .', 'a group of people sitting on a bench next to a river .', 'a group of people sitting on a bench in the water']",images\1068.jpeg
10687.jpeg,"['a large elephant standing next to a body of water .', 'a large elephant standing next to a river .', 'a bear is standing in the water near a tree .']",images\10687.jpeg
1069.jpeg,"['a black and white photo of a person holding a pair of scissors', 'a black and white photo of a person holding a pair of scissors .', 'a black and white photo of a man holding a pair of scissors .']",images\1069.jpeg
10718.jpeg,"['a group of people sitting on top of a sandy beach .', 'a group of people sitting on top of a beach .', 'a group of people sitting on top of a beach next to the ocean .']",images\10718.jpeg
10729.jpeg,"['a man riding a skateboard up the side of a ramp .', 'a man riding a skateboard down a ramp .', 'a man riding a skateboard on top of a ramp .']",images\10729.jpeg
10733.jpeg,"['a group of people sitting on top of a lush green field .', 'a group of people sitting on top of a bench .', 'a group of people sitting on top of a wooden bench .']",images\10733.jpeg
10740.jpeg,"['a group of people standing next to a wooden fence .', 'a group of people standing next to a wooden bench .', 'a group of people standing next to a wooden fence']",images\10740.jpeg
1075.jpeg,"['a man riding a skateboard up the side of a ramp .', 'a man riding a skateboard down the side of a ramp .', 'a man riding a skateboard down a ramp .']",images\1075.jpeg
10765.jpeg,"['a statue of a man sitting on top of a bench .', 'a statue of a man and a woman sitting on a bench .', 'a statue of a man and a woman sitting on a bench']",images\10765.jpeg
10766.jpeg,"['a man riding a skateboard up the side of a ramp .', 'a man riding a skateboard down the side of a ramp .', 'a man riding a skateboard down a ramp .']",images\10766.jpeg
1077.jpeg,"['a black bear sitting on top of a rock .', 'a bear that is standing in the snow .', 'a black bear sitting on a rock in the woods .']",images\1077.jpeg
10771.jpeg,"['a brown bear walking across a lush green forest .', 'a brown bear walking across a lush green field .', 'a brown bear walking through a forest next to a forest .']",images\10771.jpeg
10776.jpeg,"['a group of people walking down a snow covered road .', 'a group of people standing on a snow covered slope .', 'a group of people standing in the snow with skis .']",images\10776.jpeg
10778.jpeg,"['a group of people standing on top of a beach .', 'a group of people standing on top of a rock .', 'a group of people standing on top of a giant rock .']",images\10778.jpeg
10783.jpeg,"['a view of a city at night with a traffic light .', 'a view of a city street from the side of a road .', 'a view of a city street from the top of a building .']",images\10783.jpeg
1079.jpeg,"['a group of people walking down a street next to a dog .', 'a group of people walking down a street next to a building .', 'a group of people walking down a street with a dog .']",images\1079.jpeg
10797.jpeg,"['a man and a woman sitting on a bench .', 'a man sitting on a bench next to a woman .', 'a man and a woman sitting on a bench in the woods .']",images\10797.jpeg
10800.jpeg,"['a group of people sitting on top of a boat .', 'a group of people sitting on top of a beach .', 'a group of people sitting on top of a wooden bench .']",images\10800.jpeg
10805.jpeg,"['a black and white photo of two men in a field', 'a black and white photo of a man standing next to a horse .', 'a black and white photo of a man standing next to a horse']",images\10805.jpeg
1081.jpeg,"['a large elephant standing on top of a lush green field .', 'a large elephant standing on top of a grass covered field .', 'a large elephant standing next to a pile of rocks .']",images\1081.jpeg
10814.jpeg,"['a group of people sitting on top of a boat .', 'a group of people sitting on top of a wooden bench .', 'a group of people sitting on top of a wooden boat .']",images\10814.jpeg
1082.jpeg,"['a man riding a snowboard down a snow covered slope .', 'a man riding a skateboard down a snow covered slope .', 'a man riding a skateboard on top of a cement ramp .']",images\1082.jpeg
10855.jpeg,"['a man riding a skateboard down a street .', 'a man riding a skateboard down the side of a ramp .', 'a man riding a skateboard down the side of a road .']",images\10855.jpeg
10861.jpeg,"['a group of people riding on top of a boat .', 'a group of people riding on the backs of horses .', 'a group of people riding on the backs of elephants .']",images\10861.jpeg
10863.jpeg,"['a group of people sitting on top of a bench .', 'a group of people sitting on a bench in front of a building .', 'a group of people sitting on top of a bench under an umbrella .']",images\10863.jpeg
10867.jpeg,"['a group of people standing around a large elephant .', 'a group of people standing around a small elephant .', 'a group of people standing next to a large elephant .']",images\10867.jpeg
10874.jpeg,"['a black and white photo of a bunch of apples', 'a black and white photo of a bunch of apples .', 'a black and white photo of a fruit stand .']",images\10874.jpeg
10877.jpeg,"['a sign that is on the side of a road .', 'a sign that is on the side of a hill .', 'a sign that is on the side of a cliff .']",images\10877.jpeg
10879.jpeg,"['a group of people standing next to each other .', 'a group of people standing next to each other on a field .', 'a group of people standing on top of a field .']",images\10879.jpeg
10889.jpeg,"['a herd of sheep grazing on a lush green hillside .', 'a herd of sheep grazing on a lush green field .', 'a flock of sheep are grazing in a field']",images\10889.jpeg
1089.jpeg,"['a man riding on the back of a brown horse .', 'a man riding on the back of a horse .', 'a man riding on the back of a brown horse down a road .']",images\1089.jpeg
10892.jpeg,"['a man riding a bike down a dirt road .', 'a person riding a bike on a dirt road', 'a man riding a bike on a dirt road .']",images\10892.jpeg
109.jpeg,"['a man standing next to a train on a train track .', 'a man standing next to a train on a track .', 'a man is standing next to a train .']",images\109.jpeg
1090.jpeg,"['a large wooden boat sitting on top of a lush green field .', 'a large wooden boat sitting on top of a beach .', 'a large wooden boat sitting on top of a sandy beach .']",images\1090.jpeg
10904.jpeg,"['a group of people standing next to a horse .', 'a group of people riding horses down a street .', 'a group of people standing next to a cow .']",images\10904.jpeg
10910.jpeg,"['a group of people sitting on top of a horse .', 'a group of people sitting on top of a wooden bench .', 'a group of people sitting on top of a bench .']",images\10910.jpeg
10913.jpeg,"['a couple of zebras are standing in the grass', 'a car parked in a parking lot next to a forest .', 'a car parked in a parking lot next to a parking meter .']",images\10913.jpeg
10918.jpeg,"['a black and white photo of a man and a dog', 'a black and white photo of a man and a dog .', 'a black and white photo of a man and a woman']",images\10918.jpeg
10919.jpeg,"['a man is throwing a frisbee in a field', 'a man is throwing a frisbee in a park .', 'a man is throwing a frisbee in a park']",images\10919.jpeg
10925.jpeg,"['a group of people standing next to each other .', 'a group of people standing in front of a building .', 'a group of people standing in front of a large building .']",images\10925.jpeg
10927.jpeg,"['a statue of a man riding a horse .', 'a statue of a man riding a horse in front of a building .', 'a statue of a man riding a horse in a city .']",images\10927.jpeg
10928.jpeg,"['a group of people standing next to each other .', 'a group of people standing next to each other on a field .', 'a group of people standing next to each other in front of a building .']",images\10928.jpeg
10934.jpeg,"['a man standing next to a white truck .', 'a group of people standing next to a truck .', 'a group of people standing next to a truck']",images\10934.jpeg
10945.jpeg,"['a black and white photo of a lake', 'a black and white photo of a snowy mountain', 'a black and white photo of a lake with mountains in the background .']",images\10945.jpeg
10948.jpeg,"['a giraffe standing in the middle of a forest .', 'a giraffe standing in the middle of a field .', 'a giraffe standing in a field next to a forest .']",images\10948.jpeg
10960.jpeg,"['a man holding an umbrella in the rain .', 'a man holding an umbrella in the rain', 'a man holding an umbrella while standing in a forest .']",images\10960.jpeg
10977.jpeg,"['a man riding a snowboard down a snow covered slope .', 'a man riding skis down a snow covered slope .', 'a person on a snowboard in the snow .']",images\10977.jpeg
1098.jpeg,"['a group of people standing on top of a sandy beach .', 'a group of people standing on top of a beach .', 'a group of people sitting on top of a beach .']",images\1098.jpeg
10980.jpeg,"['a woman in a bikini sitting on a surfboard .', 'a woman in a bikini riding a surfboard on a wave .', 'a woman in a bikini sitting on a surfboard']",images\10980.jpeg
1099.jpeg,"['a boat sitting on top of a sandy beach .', 'a boat sitting on top of a beach next to the ocean .', 'a boat sitting on top of a sandy beach next to the ocean .']",images\1099.jpeg
1100.jpeg,"['a man holding a teddy bear in his hands .', 'a man holding a teddy bear in his hand .', 'a man holding a teddy bear in his hands']",images\1100.jpeg
11016.jpeg,"['a group of men playing a game of soccer .', 'a group of men playing a game of basketball .', 'a group of men playing a game of frisbee .']",images\11016.jpeg
1102.jpeg,"['a person on a snowboard in the snow .', 'a person on a horse in the snow .', 'a person on a snowboard in the snow']",images\1102.jpeg
11026.jpeg,"['a black and white photo of a man in a suit', 'a black and white photo of a man in a black and white photo', 'a black and white photo of a man in a black and white photo .']",images\11026.jpeg
11030.jpeg,"['a group of men standing next to each other .', 'a group of people standing next to each other .', 'a group of men standing next to each other holding hands .']",images\11030.jpeg
11040.jpeg,"['a couple of animals that are standing in the grass .', 'a couple of animals that are in the grass .', 'a group of animals that are standing in the grass .']",images\11040.jpeg
1105.jpeg,"['a man is holding a sign with a sign on it .', ""a sign that says `` <UNK> '' on a street corner ."", 'a man is holding a sign with a sign on it']",images\1105.jpeg
1106.jpeg,"['two polar bears are playing in the snow .', 'a polar bear is standing in the snow .', 'a polar bear is standing in the snow']",images\1106.jpeg
11070.jpeg,"['a group of horses standing in a field .', 'a group of horses grazing in a field .', 'a group of horses grazing in a large field .']",images\11070.jpeg
1108.jpeg,"['a group of people on a beach flying kites .', 'a group of people standing on top of a sandy beach .', 'a group of people standing on top of a beach .']",images\1108.jpeg
11089.jpeg,"['a group of people riding on the backs of elephants .', 'a group of people sitting on top of a wooden bench .', 'a group of people riding on the backs of elephants']",images\11089.jpeg
1109.jpeg,"['a group of people standing next to an elephant .', 'a group of people standing next to each other .', 'a group of people standing next to a elephant .']",images\1109.jpeg
11109.jpeg,"['a man is standing in the snow with a snowboard .', 'a man is standing in the snow on a snowboard .', 'a man is standing in the snow with a snowboard']",images\11109.jpeg
11121.jpeg,"['a herd of wild animals standing on top of a river .', 'a herd of wild animals standing in a river .', 'a herd of wild animals standing on top of a lush green hillside .']",images\11121.jpeg
1113.jpeg,"['a man holding a kite in front of a building .', 'a man holding a skateboard in front of a building .', 'a man holding a skateboard in front of a wall .']",images\1113.jpeg
11137.jpeg,"['a black and white photo of a parking meter .', 'a black and white photo of a parking meter', 'a black and white photo of a plane on a runway']",images\11137.jpeg
1114.jpeg,"['a man and a dog sitting on a bench .', 'a man and a dog are sitting on a bench .', 'a man and a dog sitting on a bench']",images\1114.jpeg
11147.jpeg,"['a black bear sitting on top of a tree branch .', 'a black bear sitting on top of a tree .', 'a black bear sitting on top of a pile of rocks .']",images\11147.jpeg
1115.jpeg,"['a collage of photos with a dog and a dog', 'a collage of photos with a dog and a sign', 'a collage of photos with a dog and a cat']",images\1115.jpeg
1116.jpeg,"['a group of men standing next to each other .', 'a group of men standing next to each other in a forest .', 'a group of men standing next to each other on a dirt field .']",images\1116.jpeg
11162.jpeg,"['a collage of photos with a clock and a statue .', 'a collage of photos with a clock and a statue', 'a collage of pictures of a man holding a frisbee .']",images\11162.jpeg
11168.jpeg,"['a car driving down a street next to a traffic light .', 'a car driving down a street past a traffic light .', 'a car driving down a street next to a fire hydrant .']",images\11168.jpeg
1117.jpeg,"['a group of people riding skis down a snow covered slope .', 'a group of people riding skis on top of a snow covered slope .', 'a group of people riding skis on a snow covered slope .']",images\1117.jpeg
1118.jpeg,"['a black and white photo of a person on a skateboard .', 'a black and white photo of a man on a skateboard .', 'a black and white photo of a person on a skateboard']",images\1118.jpeg
11186.jpeg,"['a black and white photo of a man holding a sign .', 'a black and white photo of a man holding a surfboard .', 'a black and white photo of a person holding a sign .']",images\11186.jpeg
1120.jpeg,"['a clock on a wall next to a window', 'a clock on a wall in a room', 'a clock on a wall next to a window .']",images\1120.jpeg
11228.jpeg,"['a group of people riding on the backs of elephants .', 'a group of people standing next to an elephant .', 'a group of people standing next to a elephant .']",images\11228.jpeg
1123.jpeg,"['a view of a street with a mountain in the background .', 'a view of a street with a mountain in the distance .', 'a view of a mountain with a view of a mountain .']",images\1123.jpeg
11248.jpeg,"['a couple of people that are standing in the water .', 'a couple of people that are in a boat', 'a couple of people that are standing in a river']",images\11248.jpeg
11252.jpeg,"['a man riding a motorcycle on top of a sandy beach .', 'a man riding a motorcycle on top of a dirt field .', 'a man riding a motorcycle down a road next to a forest .']",images\11252.jpeg
11260.jpeg,"['a dog is sitting on a couch looking out the window .', 'a dog is sitting on a chair looking out the window .', 'a dog is sitting on a chair looking at the camera .']",images\11260.jpeg
11273.jpeg,"['a statue of a man holding a giant teddy bear .', 'a statue of a man holding a large teddy bear .', 'a statue of a man holding a giant clock .']",images\11273.jpeg
1129.jpeg,"['a man riding a skateboard down a ramp .', 'a man riding a bike down a snow covered slope .', 'a person riding a bike on a road']",images\1129.jpeg
11295.jpeg,"['a woman holding a teddy bear in her hands .', 'a woman holding a teddy bear in her hand .', 'a woman holding a teddy bear wearing a hat .']",images\11295.jpeg
113.jpeg,"['a group of people standing on top of a beach .', 'a group of people sitting on top of a beach .', 'a group of people standing on top of a sandy beach .']",images\113.jpeg
11304.jpeg,"['a dog is sitting in the middle of the street .', 'a dog is sitting in the middle of a street .', 'a dog is sitting in the middle of the road .']",images\11304.jpeg
1131.jpeg,"['a group of men standing next to each other .', 'a group of men standing next to a fire hydrant .', 'a group of men standing next to each other in a room .']",images\1131.jpeg
11313.jpeg,"['a man riding a horse on top of a dirt field .', 'a man riding a horse on a dirt road .', 'a man riding a horse on top of a field .']",images\11313.jpeg
1132.jpeg,"['a group of people standing on top of a lush green field .', 'a group of people standing on top of a grass covered field .', 'a group of people standing on top of a field .']",images\1132.jpeg
11324.jpeg,"['a group of people riding horses down a river .', 'a group of people riding on the backs of horses .', 'a group of people riding horses on a river .']",images\11324.jpeg
11325.jpeg,"['a statue of a man sitting on a bench .', 'a statue of a man sitting on a bench next to a tree .', 'a statue of a man sitting on a bench next to a building .']",images\11325.jpeg
11328.jpeg,"['a group of people sitting on top of a motorcycle .', 'a group of people sitting on top of a horse .', 'a man riding a motorcycle with a dog in the back .']",images\11328.jpeg
1134.jpeg,"['a group of people standing on top of a beach .', 'a group of people standing on top of a sandy beach .', 'a group of people standing on top of a snow covered slope .']",images\1134.jpeg
1135.jpeg,"['a group of people standing on top of a boat .', 'a group of people standing next to a boat .', 'a group of people standing next to a boat in the water .']",images\1135.jpeg
1136.jpeg,"['a group of people riding horses down a snow covered slope .', 'a group of people standing on top of a snow covered field .', 'a group of people standing on top of a snow covered slope .']",images\1136.jpeg
